premise,hypothesis,label
A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,2
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,0
Two men during a football game,Two men are at a football game.,0
two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,0
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,0
A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,0
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,0
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,1
Three people are standing at a carnival game.,People are at a carnival.,0
A person rides a skateboard off of a wooden bench.,a person riding a bike,2
A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,2
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,2
A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,2
A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,1
A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,0
A man walks through a pathway.,A man walks through the pathway,0
A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,2
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,1
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,0
Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,1
A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,0
Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,2
Food is being served outside of a stadium.,Vending near large building.,0
A man holding a newborn baby.,A man is holding his wife.,2
hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,1
Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,2
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,0
Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,0
Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,1
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a conversation.,0
a woman cleaning pots in a body of water.,boy washing fruit in a stream,2
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is above the young people.,0
People are walking down a grassy hill with a fence behind them.,People are outdoors.,0
People shopping in an open produce market.,People buying produce in an outdoor market,0
Man in plaid shirt scaling rocks.,A woman is skiing.,2
A young boy in pajamas tosses a red ball in the air.,A little kid walks to school.,2
"Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.",Two men are getting ready for a cookout.,1
A woman standing next to a car in the street speaking to the driver.,A male watching football on TV.,2
three children are watching a movie.,Humans watching a movie.,0
"A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.","A person has on a helmet, a shirt, and is outside using a skateboard.",0
A group of boys sits near the sidewalk and two are smiling while one makes a face.,Three boys sitting near the sidewalk.,0
People with their back to the camera walk down a wide alley.,The people are walking through a desert.,2
A group of high school students are waiting outside a building to be admitted to class.,Nobdoy is waiting,2
A man in a striped sweater writes on a small rectangular chalkboard.,A man writes.,0
An African American boy jumps over boxes at a track.,A boy plays basketball.,2
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.,The woman is preparing to shoot a video.,1
A man in a black shirt plays the guitar surrounded by drinks.,The man is skilled at playing,1
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,A woman is dancing in a parade.,0
"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.",Boys are playing videogames,2
A girl in a white tank top posing with a guitar in front of a red Chevelle.,A girl in a white tank top looks around the store.,2
A shaven head young man wears headphones and works with a mixing board.,The man is listening to metal,1
A black and white dog runs on soft green grass.,An animal is outside running,0
The girl with the blue jean shorts on is playing with the two boys.,A girls plays with her two brothers.,1
"A person, wearing a costume with many flowers, is standing on the sidewalk trying to get the attention of people passing by.",A person stands on a sidewalk.,0
A woman in a brown sweater is sewing on her machine.,The woman is wearing a sweater.,0
"A woman in a black dress, stands alone, looking out to a city.","A woman in a black dress, stands alone, looking out to a big city.",1
A man jumping in the sand along the shore while holding something in his hand.,The man is jumping to avoid jellyfish.,1
Several men socialize under a tent.,A bunch of guys are having a party.,0
A competition with a large crowd watching.,The people are watching,1
Physically challenged men in wheelchairs engaging in a sporting event.,A man in a wheelchair plays basketball.,1
A girl stands on a street with a homemade' free car wash' sign.,A girl holds a sign for lemonade.,2
A nun kneels while speaking to a man in while robes.,A nun rides a horse.,2
A female gymnast wearing a blue leotard is reaching backwards.,A lady is preparing a speech.,2
A clown is wearing a yellow sequin jacket and holding a trumpet as people pass by in the background.,A clown is outdoors performing for a crowd,1
a man in a pink shirt herding goats in a ring,A man is hearding goats,0
"A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.",the kid lounges outside,0
Two small children eat ice cream while sitting on a bench.,Two siblings are eating ice cream.,1
A girl is riding on a pony with a little girl and a woman standing beside the pony.,A girl is showing of her pony to others.,1
A boy wearing a blue swimsuit begins to slide down a water slide.,The boy's swimsuit is red.,2
"A woman in purple riding a brown horse, competitively.",The woman rides horses.,0
A man playing guitar in a purple shirt.,man plays guitar,0
A musician in a black hat is playing a keyboard.,A musician plays a keyboard in a dark club.,1
"War protesters on curb, with pink umbrellas spelling out IMPEACH.",People were on a curb writing a word.,1
A man sitting on a boat with a flag and the sunset in the background.,A girl swings in the park.,2
People wander a surreal maze like sculpture.,Some people are stuck in a corn maze,2
two people waiting on the corner.,Two people are waiting to cross the street.,1
A man in blue jeans is sitting in front of a Canadian bank.,A man is cashing his paycheck at a bank.,2
A bald man with glasses is cutting into a turkey on the dinner table.,A man cuts a chicken on the countertop.,2
"A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.",He is happy,1
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.,A bride is sitting with some relatives waiting for the photographer.,2
2 people wearing sunglasses with red mohawks are sitting at an ASUS laptop.,The people are near the laptop.,0
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.,The man is working on a laptop computer.,1
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention.",Three women are in the room.,0
"A female wearing an orange hoodie sweater, cropped reddish hair, sitting on a park bench, holding a beverage glass.",The girl is wearing a red jacket,2
Two boys are playing ball in an alley.,The boys are dancing.,2
A woman in a trench coat walks down the street.,A woman in a black coat walks in high heels,1
People enjoying cookout food in a public park.,Many people are eating outside.,0
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway.,0
A man in a blue jacket is looking up at something.,The man is in his 30's.,1
"A boat with red, white and blue sails docking at a pier.",The boat is stopping.,1
The big white cow is decorated with a red ball of yarn.,The cow is covered in tangled yarn.,1
A couple and two other women are sitting on a couch during a nighttime social event.,Four people are at a birthday party.,1
The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a necklace and no jewelry you can see.,0
"A man taking a photograph, holding a postcard",a man writes on a postcard to his sister,2
"People in business attire, walk down an alleyway.",People in casual attire walk along a street,2
A man leans over into a fountain.,A human leaning,0
Two men are sitting on crates in a market.,Two men are relaxing.,0
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.,The dress is a single color,2
Large furry dog walking in the sand near large rocks.,The dog is taking a nap on the pet bed.,2
A band is playing in a concert.,A rock band playing an outdoor concert.,1
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.,A man about to teach his dog tricks.,2
Three men draping a rope across a road.,The men put rope across the road to hang up the sign.,1
A bicycle is parked in front of a shop that has a large orange sign.,A bike is chained to the bike rack outside of the shop.,1
The skier in the green jacket and white pants appears to almost fly into the sky.,an american having a family time,2
A young couple playfully playing in the subway.,Two people in a subway station.,0
Several children leaping into a pile of leaves on the ground.,The children leaped into a pile of leaves.,0
"People are in a kitchen, two of them are sitting at the kitchen table.","People in a kitchen, with two women seated at the table.",1
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.,Army men march down a road in uniform for a parade.,1
A dirty boat sits in murky water as workers tend to their jobs.,A boat in sitting in murky water,0
A man with a jackhammer demolishing cement,The man is makign cement,2
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.,A man speaks to people at a party about his adventures in the deep south.,1
A shaggy black and white dog is running on the grass.,they are talking loud,1
A man in a top hat is playing the accordion on the side of a city street.,A man is performing on the sidewalk.,0
A person is about to roll the bowling ball attempting to hit bowling pins.,Someone is bowling a perfect game.,1
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.,The man is looking at a person.,2
"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.",The three musicians are preparing for a live performance later that evening.,1
"A woman in a blue coat walks along a sidewalk, in front of a subway sign.",A woman heading home.,1
The woman in the red jacket looks as if she was buying something from the open air vendor.,The woman is buying a beautiful bunch of roses from a street vendor.,1
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.,The men are on the same team.,2
Man pushing his cart with personal items.,A man pushes a cart.,0
Boat sails in rough water.,Rough water with a boat sailing through it,0
Many people leading a giant blow-up figure of Oscar the Grouch down a street.,The blow-up figure is Karl Marx.,2
a group of people sitting on the ground on the sidewalk,People are sitting on a sidewalk.,0
"Two asian women are holding up a partially filled trash bag, smiling.",Men drop trash.,2
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.,Bob was wearing his peach colored tshirt while talking to a long braided hair lady.,0
A baseball player is sliding across home plate in order to score a run for his team.,Nobody is sliding.,2
Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some buildings.,0
"A woman in a blue shirt is laughing with a woman in a black shirt outside, as people are sitting and standing all around them.",Two sisters tell each other jokes in public.,1
"A fluffy, white dog running in the snow.",A white dog is running after somebody.,1
A dog is about to catch a treat in his mouth.,The dog is expecting the treat.,0
Two men handle a fishing net with a cloudy blue sky and concrete wall behind them.,Two men are fishing in the rain.,2
A dog climbs down a black ramp,A ramp leads into a house.,1
Three people are staring at a small painting.,Three people are in a museum.,1
A woman is at a store getting ready to pay for groceries.,The woman is paying for food.,0
A young woman swings a young boy around by the hands.,The young boy is running from the girl.,2
A surgeon and surgical staff operating on a patient.,A surgeon is doing a hip replacement.,1
A small Japanese woman is standing on the corner.,A woman waits for a walk signal to cross the street.,1
A child is laying down on a wooden bench.,child lays on bench,0
A skier falls down a hill.,A skier falls down a hill after begin hit by a rock.,1
A heavily bearded man in a cap is playing a banjo.,A man playing an instrument.,0
A woman selling bamboo sticks or brooms talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,1
A young girl holding a doll is smiling.,A boy is playing baseball.,2
An Asian bride in a red silk dress clutching a bouquet of red roses and an Asian groom in a blue silk robe are posing in a grassy field.,An Asian bride is riding a roller coaster.,2
A snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,1
"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.,0
A woman with teddy bear earmuffs is using a wand to make a giant bubble.,The woman is at a birthday party.,1
"A lot of people walking on a dirt road, wearing summer clothes on a sunny day.",A group of people walking.,0
A brunette woman in a striped shirt speaks to two blond women from behind a table.,Bald women swallowing oysters.,2
Four people smile and hold golden plates behind their heads.,The group of students held plates.,1
A small child walks hand-in-hand with an adult on the grass leading up to a brick building.,The building is stone.,2
An old man licks an ice cream cone.,The old man is eating chocolate ice cream.,1
Fans watching a basketball game indoors at a stadium.,Fans watching a cricket game indoors at a stadium.,2
A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.,A dog bites the mailman.,2
Person hanging upside down from poles,Gymnast hanging upside down.,1
A group of children are forming a train with their wheelchairs.,A group of kids are forming a train with their wheelchairs.,0
A young boy walking across pipe over a body of water.,A young boy is walking outside.,0
Guy in Santa suit wearing ninja mask and horns,the man is wearing a elf suit and a dog mask,2
A man in a black and yellow wetsuit is surfing.,The man is trying to win a surf competition.,1
Two people smiling while sledding down a snow covered path lined with pine trees.,The people are getting very wet and cold.,1
Families are gathered in a park.,The families all went in to church to pray for rain,2
one woman holding flowers and two men on a bench,A woman is holding daisies by two men on a bench.,1
A group of several teenage boys walking along the roadside with a garbage bag.,boys are picking up trash,1
A boy on a skateboard grinding down a handrail.,A skateboarder is grinding their way to class.,1
A crowd of people standing at an Asian gathering.,This is in Asia,1
A person in a red and black jacket with a black backpack scales a mountain face.,a person is outdoors,0
People are crossing a tree lined street in front of a building.,Several persons are seen swimming across the channel.,2
"A young boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above.",a boy skates at a skateboarding competition,1
an old man living the last moments of his life.,An old man is dying.,0
A person sitting on tan bench and man in green shirt standing on black and gray floor.,The men are in a retro diner.,1
They swim laps across the pool.,People swim in the pool,0
A sailor directs a group of people while they are on a boat.,A sailor scolding his crew.,1
A fisherman has his foot caught in his net.,The fisherman is touching the net.,0
The boy in yellow shorts leaps from riverbank towards the river.,A boy sitting in a chair,2
A man wearing a black shirt and sweater is looking down.,the guy wearing the black shirt and sweater was looking down,0
A man in a gladiator costume plays on his phone.,A performer is playing a game on his phone in between shows.,1
A skier wearing yellow and black is airborne.,The woman is preparing to begin skiing.,2
A man and woman are apparantly laughing.,The husband and his wife are remembering good times.,1
A little boy playing with sand on the beach.,The boy is in a tent in the woods.,2
A hockey player in a blue shirt scoring a goal against a team in white shirts.,a hockey is scoring a goal,0
Three men are talking over drinks.,Three men have drinks.,0
A street vendor tends to his stand with lots of kids toys and items.,A man is selling bread inside a bakery.,2
"A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on.",A boy is splashing through a puddle for fun.,1
Some Caucasian athletes are relaxing on a field.,Some white athletes are sleeping on a field.,1
Two men are driving in opposite directions on motorbikes while another man walks past them.,The two men have motorbikes.,0
A woman with a backpack and a child kneeling in the sand on a beach with boats in the background.,A man eats a slice of cake.,2
Two girls play a competitive game of frisbee.,Two girls are singing on stage.,2
A man with a can walks past a painting of a construction scene.,A piece of art.,0
Six small children sitting at a desk.,There are six children on a roller coaster,2
Young men looking through a fence.,A young man watches a baseball game through a fence.,2
An elderly black man drinking a beer.,A man takes a drink.,0
A man stands outside of a mobile Thai food truck.,The man is sitting in a recliner.,2
A little boy jumping off of a dock into a lake.,A little boy pushed into a lake,1
Two women eating soup in a restaurant.,THe two women are eating spaghetti.,2
A small group of people is chatting in a city plaza.,A group of people are talking.,0
Two construction workers cutting a piece of concrete road.,One man sips a cup of coffee while leaning back at his desk.,2
A group of women sitting around a table for lunch.,A group of men meet at the bar.,2
"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.",Two guys are filming something,0
Three people singing together.,A trio trying out for a show.,1
A crowd standing around and hugging a bride.,The crowd is waiting for a bouquet .,1
A man is walking past a red building while wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,0
A photographer peeks out between rocky hills to take a picture.,Paparazzi wait in cars to photograph Madonna.,2
A man is seasoning food on a grill.,A man boils a stew,2
A man in drag with his face painted rides by on a bicycle.,a gay man cycles,1
A man in a muddy field sowing seeds.,A man is sowing seeds,0
A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control.,0
Time-lapse of a female toddler playing in a living room.,A toddler is playing with dolls.,1
A smiling woman carries two baskets full of produce on a bamboo pole.,woman coming from her garden,1
"A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.",A human sleeping,0
Group of people watching men in baseball uniforms play baseball.,Two teams were playing baseball.,1
A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a pump in front of a building.,0
Two women wearing green shirts are getting off a tour bus.,Some women are talking about what they plan to do while getting off the bus.,1
Several people are riding on a roller coaster while reacting to going through a loop in various ways.,The roller coaster is out of service and nobody can ride it.,2
A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a table tennis net and a paddle in the background.,the man is a player,1
A young boy stands behind a woven mat under a roof of palm fronds.,A boy stands under shelter.,0
"Two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.",There are at least three people in the photo.,0
An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.,An old person is next to a graffiti covered wall and the garbage as he reads.,0
A man surfing on a big green wave.,A man on the beach is holding a surfboard.,2
A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are wearing blue,0
"Group of children, three boys, one girl making faces toward camera.",Kids are clowning while their parents take pictures.,1
This policeman is standing in front of a ride at a carnival.,This policeman is standing at a carnival.,0
A man and two small children together in a pool.,A man is playing with his two children in a pool.,1
A man wearing a red shirt is walking past a bicycle.,There's a man walking outside.,0
Construction workers chat with one another beside a cement filled hole.,A group of construction workers relay orders to one another as they fill a hole with cement.,1
A girl sitting in a chair while waiting for something.,There is a child in this picture,0
A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.,A woman is playing pool.,0
A girl plays with a necklace as the sun shines behind her.,The girl plays outside in the pouring rain.,2
African woman with child writes the alphabet on a chalkboard.,the african woman writes the alphabet on a chalkboard with child,0
People enjoy picnics in park on nice warm day.,It is warm outside,0
A photographer snaps a quick photo of a yellow sports car.,A photographer snaps a quick photo of a cheetah.,2
A band consisting of two males and a female perform on stage in front of a giant red heart.,A band is performing on Valentine's Day.,1
Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another.,the woman is flying a plane,2
A pitbull dog is biting another dog on the face.,Two dogs playing in the grass.,2
Looks like a traveler going places in his toyota.,a person driving,1
A Chinese farmer is working in a field.,A Chinese farmer is being lazy and sleeping in a field,2
Two men giving a presentation or speech to a group of individuals sitting in red chairs.,The people are inside.,0
Several Asian men and women are standing at a busy crosswalk while waiting for their turn to cross the street.,A man stands by himself on the street.,2
"Man with a hat on bending to pick a small, yellow flower.",A man bends over outside.,0
Two men are carrying on a conversation on a sidewalk.,Some people are having a debate.,1
A tree surgeon hard at work in a basket that is sometimes called a cherry picker.,the surgean is a woman,1
Two men haul scrap wood and metal.,Two women sew a blanket together.,2
A man in a yellow t-shirt runs through a series of decorative fountains.,A woman in a pink dress walks through a rainstorm.,2
A boy pushing a miniature car on a lawn.,A boy pushes a miniature car on a lawn while waiting for his friend.,1
two people with a dog sitting in front of the ocean,The two people were sitting with the dog,0
A small brown dog is playing with a fuzzy slipper.,The dog is still a puppy.,1
An older guy is playing chess with a young boy.,Two generations play an ancient game.,0
A geisha applies makeup to her face.,the geisha is asleep,2
Two girls bounce on a large yellow ball indoors.,Two boys bounce on a large yellow ball indoors.,2
little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.,a young boy burns his retina by stupidly looking at the sun though a telescope,1
A man dressed in winter clothes cutting down a tree in a snow filled field.,A man is cutting down a tree in a field.,0
"A boy and his dog are standing on a trampoline, enjoying each others company.",a boy is standing,0
A little boy jumping off a diving board in the pool to his father.,A boy jumps of the kiddie diving board to his father.,1
A woman is holding onto a baby that looks like he's about to cry.,A woman is holding a baby.,0
Five people are standing in front of a wall overlooking a large body of water while they are holding musical instruments over their left shoulder and over their backs.,A group of people hold musical instruments near a pond.,0
A group of people watching a young lady and man.,People watch other people.,0
Two men in cowboy hats wrangling a bull at a rodeo.,The cowboys are courting a lady.,1
Youths dance together in a dark room with a British flag prominently displayed on the wall.,Black youth dance together in a dark room.,1
A man in a crowd is expressing his opinion.,A woman in a crowd is expressing his opinion.,2
A gentleman in the background watches the gentleman in the foreground demonstrate the technique for playing a game at the park on a sunny afternoon.,A man watches another man on a sunny afternoon.,0
Men build castle-like sculptures out of dark sand by the shore.,The men are in a sand castle building competition.,1
The rugby players are competing for the ball with onlookers nearby.,Rugby players are competing for the ball in the championship game.,1
Three people stand with fishing poles on the rocks near the water.,The people are standing on the river bank.,1
A German shepherd biting the protected arm of an attack trainer.,A dog bites an arm.,0
A woman with sunglasses is walking past a brick building in the city checking her cellphone.,A woman is reading a book.,2
The construction worker is drilling into the street near a street with active traffic.,the worker is in a busy city,1
a man is shaping wood with a lathe in his workspace.,The wood is in the man's workspace.,0
A man alone on a gravely beach.,A man is trying to enjoy his day off in solitude,1
A group of workers begin to put up the metal frame of a future building.,The men are eating lunch.,2
Women security officers standing in a group with sunglasses on.,Women security officers standing in a group awaiting for President,1
A man is wheeling a gurney full of medical supplies.,A guy is pushing a table full of medical materials to put away.,1
A man hooking a line.,A male grapneling a line.,0
A girl goes down a red slide.,The girl is excited,1
The old man has a long white beard and a yellow and black hat.,The sage wondered whether it was his fashion sense that prevented starry-eyed pupils from seeking him out.,1
A snowboarder slides across an icy table.,The only thing visible here is a man cooking steak and potatoes.,2
A smiling young couple are strolling arm in arm down a Paris street.,Two lovers walk together in Paris.,0
A man reading a newspaper on a wooden outdoor bench.,A man is sitting next to a friend while reading a newspaper on a bench,1
People standing near water one is wearing yellow and one is in purple.,People are wearing yellow and purple.,0
The baby wearing the blue shirt is crying.,the baby is crying because it is hungry,1
"A crowd of people are walking, they are mostly dressed in white.",Some people sit at a funeral.,2
"A guy with a light blue shirt, blue jeans, and rollerblades is grinding on a curved surface.",A guy is wearing rollerblades.,0
Men dressed up for some sort of event with huge smiles on their faces.,The men are smiling because they are happy.,1
A girl is blowing at a dandelion.,The girl is swimming in a pool.,2
A seductive women looking to entice a man.,The woman looks at the man.,0
group of people at train station,People wait at the train station.,0
Two boys are participating in a relay race with a baton.,A large crowd is watching a car accident during a race.,2
A white male in a purple shirt and black life vest is wave boarding and splashing lots of water around him.,The male is splashing lots of water,1
two ladies riding a horse,they are riding a horse,0
One boy stands pointing at another boy who is balled up on the floor.,The two girls laugh and play.,2
a group of people sitting at a sporting event.,People sitting at a sporting event.,0
A group of five people stand outdoors.,Six people are in line for dinner.,2
A man in a chair wearing an apron and shaving cream,a man in the kitchen is making a shaving cream pie.,2
A man dressed as a woman and a woman are laughing while walking down a city street.,A crossdressing man is outside with a woman.,0
A man standing and holding a blue snowboard.,The man is about to go snowboarding.,1
An asian girl holding flowers under Korean symbols.,A girl holds a cat under English text.,2
A girl is holding a beer and a stuffed animal.,A girl holding a beer.,0
A man in a field with an airplane in view.,The man trudges through a swampy forest.,2
A woman wearing a Little Mermaid costume stands in front of a bright red phone booth.,boy eats many cookies,2
A dog runs through the grass.,A dog outside.,0
Group of Asian boys wait for meat to cook over barbecue.,The boys are cooking chicken.,1
two beautiful women stand next to a fountain which is giving off a light mist.,Two models are doing a photo shoot by a fountain.,1
A man is walking on a downed tree that is partially submerged in water.,A man is walking over a tree to get across some water.,1
A dog in the forest.,The dog is running through the forest.,1
"A man, wearing all black clothing, is running down the street as a car comes toward him with its headlights on.",the men are asleep in the motel,2
On mass transit a woman with a black purse has fallen asleep in a shared seat.,The lady is sleeping on a stranger.,1
Two Black men are hoeing what seems to be a rough patch of dirt.,"The two men are working for the city, trying to revitalize a local park.",1
A woman wearing a sweater and jeans is playing on a tire swing with two little children in an outdoor park.,A woman and two children are in the park.,0
Asian children are preparing for a race on a racetrack.,The children are sleeping on the racetrack.,2
Two homeless men are sitting on the sidewalk.,Two women are homeless.,2
Person standing upon a log in the forest.,The hunter is looking for an animal to hunt.,1
An artist working on an ice sculpture,A person with a block of ice.,0
Three boys are searching for their books in a library.,There is one more than just two boys in the library.,0
Two young girls with sponge bats being to play while an older girl is acting as the referee.,The boys are playing with sponge bats,2
A man is working in a small store with his cat.,People are participating in a protest.,2
A man dressed all in white wearing a white mask on his face pretending to be a statue in a plaza.,The man is in a plaza.,0
"A group of people looks from below at several balconies, also occupied by people, which are present on the sides of a group of three apartment buildings.",The people are looking upward.,0
Asian man wearing a white shirt and gray pants standing with a microphone near a loudspeaker.,The shirt is a button up,1
A rice field near some old buildings.,The rice is growing well this season.,1
A young female in a green tank top and shorts standing in the middle of the railroad tracks.,The Girl is going to watch the plane fly by.,2
A boy scout troop stands at attention while two uniformed men hold flowers in front of a flag.,The officers command the boy scouts.,1
A view of a straight road with a woman jogging along the side.,A female is jogging to prepare for the marathon.,1
A woman sitting in a laundromat looking at the camera.,A woman is modeling appliances for the camera.,1
"Two little girls, both dressed in pink, play on the jungle gym.",Two little girls are climbing.,0
The man breaking the ice with his foot stands on a blue mat.,A man is sitting down holding the ice in his hands.,2
The woman is holding the girls hand near a bush.,The woman and child are outdoors picking berries,1
Young boy wearing apron standing on step stool cutting meat with butter knife.,There is a young boy working in this picture.,0
People are riding around on snowmobiles.,There is plenty of snow to have fun on snowmobiles,0
