premise,hypothesis,label
Bearded man playing the bass.,A man with a mustache is playing the bass.,1
A person dressed in black shoveling a path to the road from the stairs.,The person shoveling a path from the stairs.,0
A person dressed in black shoveling a path to the road from the stairs.,The man shoveling a path from the stairs.,1
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,An experienced worker is observing large construction equipment in motion.,1
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is ignoring large construction equipment in motion.,2
Two men during a football game,Two men are at a Bears game.,1
Two men during a football game,Two men are at a baseball game.,2
two men each wearing jackets leaning on a railing near a snowy road,Two men wearing hats stand outdoors.,1
two men each wearing jackets leaning on a railing near a snowy road,Two men stand indoors.,2
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings Christmas songs.,1
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A adult's choir sings.,2
A lady with kind eyes and long brown hair is holding an ax by a tree.,There was no axes being held.,2
A lady with kind eyes and long brown hair is holding an ax by a tree.,Several ladies were standing near the trees.,1
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of dim lighting.,1
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of well lit area.,2
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",The young man is on a skate board.,2
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A man is watching another man in a crowd.,0
Three people are standing at a carnival game.,People are having fun.,1
Three people are standing at a carnival game.,People are at a funeral.,2
A person rides a skateboard off of a wooden bench.,a person riding a wooden skateboard,1
A person rides a skateboard off of a wooden bench.,a person riding a skateboard,0
A blue delivery truck is parked in front of a white building on a street corner.,The truck is parked in front of the building.,0
A blue delivery truck is parked in front of a white building on a street corner.,The truck is parked by it.,1
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,The child is hungry.,1
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,The child is kneeling in shallow water.,0
A person is riding a bucking animal in front of a crowd.,A person is riding an animal in front of a crowd.,0
A person is riding a bucking animal in front of a crowd.,A person is riding an animal in front of a crowd at night.,1
A man is jumping off the grass while holding onto a giant white balloon.,The man leapt while holding his balloon.,0
A man is jumping off the grass while holding onto a giant white balloon.,The man slept while holding his balloon.,2
A girl in purple doing the long jump at a track event.,The girl represents her high school at the track event.,1
A girl in purple doing the long jump at a track event.,The girl competes in shot-put.,2
A man walks through a pathway.,A man walks through the narrow pathway.,1
A man walks through a pathway.,A man walks through the hallway.,2
A guy is practicing his kicks on a punching bag in the gym.,A man is not punching but kicking a punching bag.,0
A guy is practicing his kicks on a punching bag in the gym.,A kickboxer is training for his fight.,1
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",Two men are standing in a rodeo ring,0
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",Two men are sitting in a rodeo ring,2
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping for an Ipad.,1
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A girl is window shopping.,2
Two women in a whirlpool with towels on the heads laughing.,The women had towels on their head.,0
Two women in a whirlpool with towels on the heads laughing.,There was only one woman in the whirlpool.,2
A middle-aged woman ironing in a messy room.,A woman sleeping in a messy room.,2
A middle-aged woman ironing in a messy room.,A woman ironing in a messy living room.,1
Female painter is painting on a vase with three people watching her.,People are watching a female painter paint on a vase.,0
Female painter is painting on a vase with three people watching her.,A female painter is painting flowers on a vase.,1
Food is being served outside of a stadium.,Vending is inside the stadium.,2
Food is being served outside of a stadium.,There is food vending.,1
A man holding a newborn baby.,A man holds a baby.,0
A man holding a newborn baby.,The man is holding his first newborn baby.,1
hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations didn't boil over into a fight.,2
hockey match with two guys fighting,The hockey game frustrations boiled over into a fight.,0
Three younger men dancing in front of a semi-circled crowd.,Three young men are performing for money in front of a crowd.,1
Three younger men dancing in front of a semi-circled crowd.,Three young men are performing in front of a crowd.,0
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score to win the game.,1
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is not attempting to score.,2
Men at opposite ends of the street waiting to cross.,there are some people outside in this picture at the crosswalk.,1
Men at opposite ends of the street waiting to cross.,there are some people inside in this picture,2
Two men in safety hats and masks sorting through soiled rags at a factory.,Two men without safety hats or masks are sorting through soiled rags at a factory.,2
Two men in safety hats and masks sorting through soiled rags at a factory.,Two men in safety hats and masks are sorting through soiled rags at a factory.,0
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a fun conversation.,1
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a fight.,2
a woman cleaning pots in a body of water.,A woman has pots that are wet.,0
a woman cleaning pots in a body of water.,A woman cleans pots in a stream.,1
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is above the young students.,1
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is below the young people.,2
People are walking down a grassy hill with a fence behind them.,People are happy.,1
People are walking down a grassy hill with a fence behind them.,People are indoors.,2
People shopping in an open produce market.,People are shopping in a mall.,2
People shopping in an open produce market.,People are buying items outside.,1
Man in plaid shirt scaling rocks.,A blind man is scaling rocks.,1
Man in plaid shirt scaling rocks.,A man is scaling rocks.,0
A young boy in pajamas tosses a red ball in the air.,A little kid is happy.,1
A young boy in pajamas tosses a red ball in the air.,A youngster with a ball.,0
"Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.",Two men are standing in the rain.,2
"Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.",Two men are standing in the sun.,0
A woman standing next to a car in the street speaking to the driver.,A blonde woman is standing.,1
A woman standing next to a car in the street speaking to the driver.,A woman is standing.,0
three children are watching a movie.,Animals are watching a movie.,2
three children are watching a movie.,Brothers are watching a movie.,1
"A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.","A person has on a helmet, a shirt, and is outside using a bicycle.",2
"A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.","A person has on a helmet, a yellow shirt, and is outside using a skateboard.",1
A group of boys sits near the sidewalk and two are smiling while one makes a face.,Four boys are standing at the boardwalk.,2
A group of boys sits near the sidewalk and two are smiling while one makes a face.,Three boys are sitting.,1
People with their back to the camera walk down a wide alley.,The people are walking through a passageway.,0
People with their back to the camera walk down a wide alley.,The people are walking through a city.,1
A group of high school students are waiting outside a building to be admitted to class.,Nobody is sitting.,1
A group of high school students are waiting outside a building to be admitted to class.,Students are waiting.,0
A man in a striped sweater writes on a small rectangular chalkboard.,A man appears to use a pen.,1
A man in a striped sweater writes on a small rectangular chalkboard.,A man jogs.,2
An African American boy jumps over boxes at a track.,A boy does a long jump.,1
An African American boy jumps over boxes at a track.,A boy jumps at a track.,0
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.,A man attaches a video camera to a deck.,2
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.,A woman attaches a video camera to a deck.,0
A man in a black shirt plays the guitar surrounded by drinks.,No one is playing the guitar.,2
A man in a black shirt plays the guitar surrounded by drinks.,The man is playing the guitar,0
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,A woman is dancing in a holiday parade.,1
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,A woman is dancing in a studio.,2
"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.",Boys are playing rugby,0
"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.",Boys are playing an unofficiated match,1
A girl in a white tank top posing with a guitar in front of a red Chevelle.,A girl in a white tank top and shorts.,1
A girl in a white tank top posing with a guitar in front of a red Chevelle.,A girl in a white tank top.,0
A shaven head young man wears headphones and works with a mixing board.,The man is wearing a hat.,2
A shaven head young man wears headphones and works with a mixing board.,The man is wearing headphones.,0
A black and white dog runs on soft green grass.,An animal is outside running to his owner.,1
A black and white dog runs on soft green grass.,An animal is outside sleeping,2
The girl with the blue jean shorts on is playing with the two boys.,The girls is wearing pants.,2
The girl with the blue jean shorts on is playing with the two boys.,The girl is playing with the two boys.,0
"A person, wearing a costume with many flowers, is standing on the sidewalk trying to get the attention of people passing by.",A person sits on a sidewalk.,2
"A person, wearing a costume with many flowers, is standing on the sidewalk trying to get the attention of people passing by.",A person stands on an old sidewalk.,1
A woman in a brown sweater is sewing on her machine.,The woman is wearing a cashmere sweater.,1
A woman in a brown sweater is sewing on her machine.,The woman is wearing a jacket.,2
"A woman in a black dress, stands alone, looking out to a city.",A woman in black near a city.,0
"A woman in a black dress, stands alone, looking out to a city.",A woman in a black swimsuit stands alone at the beach.,2
A man jumping in the sand along the shore while holding something in his hand.,The man is at the beach fishing for fishes.,2
A man jumping in the sand along the shore while holding something in his hand.,The man is jumping at the beach along the shore.,0
Several men socialize under a tent.,A bunch of guys are having a large gathering.,1
Several men socialize under a tent.,A bunch of guys are having a soccer tournament,2
A competition with a large crowd watching.,Nobody is watching the competition.,2
A competition with a large crowd watching.,The crowd are watching the competition.,0
Physically challenged men in wheelchairs engaging in a sporting event.,A man shops for groceries.,2
Physically challenged men in wheelchairs engaging in a sporting event.,A man in a wheelchair at an event.,0
A girl stands on a street with a homemade' free car wash' sign.,A girl holds a sign for her school fundraiser.,1
A girl stands on a street with a homemade' free car wash' sign.,A girl holds a sign for a 'free car wash'.,0
A nun kneels while speaking to a man in while robes.,A nun is on her knees.,0
A nun kneels while speaking to a man in while robes.,A nun is speaking softly.,1
A female gymnast wearing a blue leotard is reaching backwards.,A gymnast is wearing a leotard.,0
A female gymnast wearing a blue leotard is reaching backwards.,A tall gymnast is wearing a leotard.,1
A clown is wearing a yellow sequin jacket and holding a trumpet as people pass by in the background.,A clown is by a crowd.,0
A clown is wearing a yellow sequin jacket and holding a trumpet as people pass by in the background.,A singer is outdoors performing for a crowd,2
a man in a pink shirt herding goats in a ring,A man is herding cats.,2
a man in a pink shirt herding goats in a ring,A shepherd is herding goats.,1
"A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.",the kid lounges outside on a chair,2
"A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.",the kid lounges outside falling asleep,1
Two small children eat ice cream while sitting on a bench.,The children are walking around the park.,2
Two small children eat ice cream while sitting on a bench.,"The two, small children are eating ice cream. ",0
A girl is riding on a pony with a little girl and a woman standing beside the pony.,A girl is riding a camel.,2
A girl is riding on a pony with a little girl and a woman standing beside the pony.,A girl is riding a pony.,0
A boy wearing a blue swimsuit begins to slide down a water slide.,The tall boy's swimsuit is blue.,1
A boy wearing a blue swimsuit begins to slide down a water slide.,The boy's swimsuit is blue.,0
"A woman in purple riding a brown horse, competitively.",The woman is riding a male horse.,1
"A woman in purple riding a brown horse, competitively.",The woman is riding a horse for the first time.,2
A man playing guitar in a purple shirt.,man plays violin,2
A man playing guitar in a purple shirt.,man plays electric guitar,1
A musician in a black hat is playing a keyboard.,A musician plays a keyboard.,0
A musician in a black hat is playing a keyboard.,A musician plays a violin in a dark club.,2
"War protesters on curb, with pink umbrellas spelling out IMPEACH.",The war protesters were calling for impeachment.,0
"War protesters on curb, with pink umbrellas spelling out IMPEACH.",The protesters were holding bananas.,2
A man sitting on a boat with a flag and the sunset in the background.,A man is on a boat.,0
A man sitting on a boat with a flag and the sunset in the background.,A man is on a sailboat.,1
People wander a surreal maze like sculpture.,Fat people are in a maze,1
People wander a surreal maze like sculpture.,People are in a maze,0
two people waiting on the corner.,Two people are waiting in the middle of the street.,2
two people waiting on the corner.,Two people are waiting at a corner.,0
A man in blue jeans is sitting in front of a Canadian bank.,A man is sitting at a bank.,0
A man in blue jeans is sitting in front of a Canadian bank.,A man is sitting on stool at a bank.,1
A bald man with glasses is cutting into a turkey on the dinner table.,A man cuts into some poultry.,0
A bald man with glasses is cutting into a turkey on the dinner table.,A man is nearsighted.,1
"A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.",A girl is playing with a yo-yo.,2
"A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.",The boy is playing with a yo-yo.,0
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.,A bride is with some relatives and a photographer.,0
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.,A bride is sitting with some relatives for a picture by the photographer.,1
2 people wearing sunglasses with red mohawks are sitting at an ASUS laptop.,No one had a red mohawk.,2
2 people wearing sunglasses with red mohawks are sitting at an ASUS laptop.,The people were students at a coffee shop.,1
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.,The man in tan is working.,0
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.,The man is not working.,2
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention.",Three women are in the park.,2
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention.",Three women are sitting in the room.,1
"A female wearing an orange hoodie sweater, cropped reddish hair, sitting on a park bench, holding a beverage glass.",The girl is wearing an orange sweater.,0
"A female wearing an orange hoodie sweater, cropped reddish hair, sitting on a park bench, holding a beverage glass.",The girl is wearing an old hoodie.,1
Two boys are playing ball in an alley.,The boys are not dancing.,0
Two boys are playing ball in an alley.,The boys would rather be dancing.,1
A woman in a trench coat walks down the street.,A woman in a trench coat walks down the street.,0
A woman in a trench coat walks down the street.,A woman in a black coat runs in high heels,2
People enjoying cookout food in a public park.,People are disgust by the sold food in a private event.,2
People enjoying cookout food in a public park.,Many people are eating burgers and hot dogs in the park.,1
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway on the third hole.,1
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a baseball out of the park.,2
A man in a blue jacket is looking up at something.,The man is in his jacket.,0
A man in a blue jacket is looking up at something.,The man is not in his jacket.,2
"A boat with red, white and blue sails docking at a pier.",The boat was setting out to sea.,2
"A boat with red, white and blue sails docking at a pier.","The boat has red, white, and blue sails. ",0
The big white cow is decorated with a red ball of yarn.,The cow is wearing blue denim.,2
The big white cow is decorated with a red ball of yarn.,The cow is decorated.,0
A couple and two other women are sitting on a couch during a nighttime social event.,Four people are at a social event.,0
A couple and two other women are sitting on a couch during a nighttime social event.,Four people are at a church service.,2
The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a black necklace and no jewelry you can see.,1
The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a necklace and a lot of jewelry you can see.,2
"A man taking a photograph, holding a postcard",a man holds a postcard,0
"A man taking a photograph, holding a postcard",a man holds a postcard that is meant for his sister.,1
"People in business attire, walk down an alleyway.",People in business attire walk down the alleyway,0
"People in business attire, walk down an alleyway.",Tall people in business attire walk down the alleyway,1
A man leans over into a fountain.,The man leans.,1
A man leans over into a fountain.,A man stood straight.,2
Two men are sitting on crates in a market.,Two men are relaxing in the summer.,1
Two men are sitting on crates in a market.,Two men are working.,2
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.,A beautiful  woman is wearing a multicolored dress.,1
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.,A woman is wearing a multicolored dress.,0
Large furry dog walking in the sand near large rocks.,The large dog walks.,1
Large furry dog walking in the sand near large rocks.,The dog walks in the sand by the large rocks.,0
A band is playing in a concert.,A rock band watching an outdoor concert.,2
A band is playing in a concert.,A band playing music outdoors.,0
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.,A horse racer in a hat holding a tool stands next to a horse in a hilly area.,1
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.,A man in a hat holding a tool stands next to a horse in a hilly area.,0
Three men draping a rope across a road.,Men draped a rope across the road to hang up the sign,0
Three men draping a rope across a road.,The women put rope across the road to hang up the sign.,2
A bicycle is parked in front of a shop that has a large orange sign.,A bike is outside of the shop.,0
A bicycle is parked in front of a shop that has a large orange sign.,A car is chained to the bike rack outside of the shop.,2
The skier in the green jacket and white pants appears to almost fly into the sky.,A skier competes.,1
The skier in the green jacket and white pants appears to almost fly into the sky.,A skier is in the air.,0
A young couple playfully playing in the subway.,The couple in the subway is married.,1
A young couple playfully playing in the subway.,Two people are riding a bus.,2
Several children leaping into a pile of leaves on the ground.,The children leaped into a pile of balloons.,2
Several children leaping into a pile of leaves on the ground.,The boys leaped into a pile of leaves.,1
"People are in a kitchen, two of them are sitting at the kitchen table.","People in a kitchen, with two seated at a piece of furniture.",0
"People are in a kitchen, two of them are sitting at the kitchen table.","People in a kitchen, with five seated at a piece of furniture.",2
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.,Army men walk down a road in green attire.,0
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.,Army men march down a road in black uniforms for a parade.,2
A dirty boat sits in murky water as workers tend to their jobs.,A boat in sitting in the marina.,1
A dirty boat sits in murky water as workers tend to their jobs.,A boat in sitting on the trailer.,2
A man with a jackhammer demolishing cement,The man is demolishing cement.,0
A man with a jackhammer demolishing cement,The man is demolishing cement stairs.,1
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.,A man speaks to people at a party holding a wineglass.,0
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.,A man speaks to people at a party holding a beer.,2
A shaggy black and white dog is running on the grass.,An orange dog  runs on the grass. talking loud,2
A shaggy black and white dog is running on the grass.,A black and white dog  runs on the grass.,0
A man in a top hat is playing the accordion on the side of a city street.,A man is begging on the sidewalk.,2
A man in a top hat is playing the accordion on the side of a city street.,A man is playing his heart out on the sidewalk.,1
A person is about to roll the bowling ball attempting to hit bowling pins.,Someone is pitching a baseball.,2
A person is about to roll the bowling ball attempting to hit bowling pins.,Someone is bowling and trying to do well.,0
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.,The man is using an expensive microscope.,1
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.,The man is using a microscope.,0
"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.",The three musicians are making music.,0
"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.",The seven musicians are preparing for a live performance later that evening.,2
"A woman in a blue coat walks along a sidewalk, in front of a subway sign.",A man walks along a sidewalk.,2
"A woman in a blue coat walks along a sidewalk, in front of a subway sign.",A woman walks along a sidewalk.,0
The woman in the red jacket looks as if she was buying something from the open air vendor.,The woman is wearing a jacket.,0
The woman in the red jacket looks as if she was buying something from the open air vendor.,The man is wearing a dress.,2
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.,The football players are on the opposite team.,1
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.,The men are on the opposite teams.,0
Man pushing his cart with personal items.,A man is pushing a cart with his personal items at a store.,1
Man pushing his cart with personal items.,A man is eating a bag of chips.,2
Boat sails in rough water.,Calm water with a boat sailing through it,2
Boat sails in rough water.,Rough water with a white boat sailing through it,1
Many people leading a giant blow-up figure of Oscar the Grouch down a street.,Many people on the street.,0
Many people leading a giant blow-up figure of Oscar the Grouch down a street.,Many people on the Hollywood Walk of fame.,1
a group of people sitting on the ground on the sidewalk,People are sitting in protest.,1
a group of people sitting on the ground on the sidewalk,People are sitting on the beach.,2
"Two asian women are holding up a partially filled trash bag, smiling.",Two women are holding up a trash bag.,0
"Two asian women are holding up a partially filled trash bag, smiling.",Two women hold up trash bags every day.,1
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.,Bob was wearing his black colored tshirt while talking to a long braided hair lady.,2
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.,Bob was wearing his bright colored tshirt while talking to a long braided hair lady.,1
A baseball player is sliding across home plate in order to score a run for his team.,The baseball player slide at home.,0
A baseball player is sliding across home plate in order to score a run for his team.,It was really close.,1
Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some old buildings.,1
Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some farms.,2
"A woman in a blue shirt is laughing with a woman in a black shirt outside, as people are sitting and standing all around them.",Two women tell each other jokes at home in private.,2
"A woman in a blue shirt is laughing with a woman in a black shirt outside, as people are sitting and standing all around them.",Two women talk with each other in public.,0
"A fluffy, white dog running in the snow.",A white dog is running.,0
"A fluffy, white dog running in the snow.",A white dog is walking.,2
A dog is about to catch a treat in his mouth.,The dog will catch it.,1
A dog is about to catch a treat in his mouth.,The dog is sleeping.,2
Two men handle a fishing net with a cloudy blue sky and concrete wall behind them.,Two men are handling fishing gear in cloudy weather.,0
Two men handle a fishing net with a cloudy blue sky and concrete wall behind them.,Two men are fishing in cloudy weather.,1
A dog climbs down a black ramp,A dog is on a ramp,0
A dog climbs down a black ramp,A cat is on a ramp,2
Three people are staring at a small painting.,Three people are ignoring painting.,2
Three people are staring at a small painting.,Three people looking at painting.,0
A woman is at a store getting ready to pay for groceries.,The woman is paying for expensive food.,1
A woman is at a store getting ready to pay for groceries.,The man is paying for food.,2
A young woman swings a young boy around by the hands.,The young woman swings her young boy.,1
A young woman swings a young boy around by the hands.,The young woman swings a young boy.,0
A surgeon and surgical staff operating on a patient.,A surgeon is performing a surgery on a patient,0
A surgeon and surgical staff operating on a patient.,The patient did not need to have surgery.,2
A small Japanese woman is standing on the corner.,A woman standing near the street.,0
A small Japanese woman is standing on the corner.,A woman stands in the middle of the street.,2
A child is laying down on a wooden bench.,A child lays on a couch.,2
A child is laying down on a wooden bench.,A child lays on a park bench.,1
A skier falls down a hill.,A skier falls down the stairs.,2
